naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
"Dječji vrtić ""Sunčana""";GRAD ZAGREB;Grad Zagreb;DJEČJI TRG 2;Zagreb;01/3867-420;tajnica@dvsuncana.hr; PO Sunčana 1, TRG I.KUKULJEVIĆA 3, 10090 ZAGREB ,  PO Sunčana 3, T.I.KUKULJEVIĆA 6, 10090 ZAGREB ,  PO Sunčana 2, T.I.KUKULJEVIĆA 4, 10090 ZAGREB ,  PO Sunčana 4, T.I.KUKULJEVIĆA 13, 10090 GRAD ZAGREB
"DV ""Leptirić Lu""";SLIJEDI ME D.O.O. , ;Grad Zagreb;Remetinečka cesta 5b;Zagreb;091 53 861 99;irena@leptiric-lu.hr; PO Ivana Bone Bolice 27, Ivana Bone Bolice 27, 10000 Zagreb
"Dječji vrtić ""Mali cvrčak""";Vesna Matulić i Mario Matulić;Grad Zagreb;IV. Poljanice 4;Zagreb;01/2923-272;vrtic.malicvrcak@gmail.com; PO  V Poljanice 18, V Poljanice 18, 10040 Zagreb
"Dječji vrtić ""Drvo znanja""";Adam Pavić;Grad Zagreb;Lovćenska 38;Zagreb;01/464-6566;ravnateljica@tltkindergarten.com;NA
"DV ""Obzori""";Milena Prodanić Tišma;Grad Zagreb;Zelengaj 6;Zagreb;01/4578-205;milena@kindergarten.hr; PO Kraljevečki ogranak, Kraljevečki ogranak 14, 10000 Zagreb ,  PO Samoborski vrtovi, Maksa Puša 1, 10430 Samobor
"DV ""Svemirko""";Ira Giaschi;Grad Zagreb;Srebrnjak 116;Zagreb;01/5606-616;info@svemirko.hr;NA
Program predškolskog odgoja pri OŠ Kreativan razvoj;Martin-Tino Časl;Grad Zagreb;Dedići 102;Zagreb;"0912006286; 01 4611 007";ravnatelj@kreativan-razvoj.hr;NA
Kraći program predškolskog odgoja pri Glazbenoj školi Zlatka Balokovića;Grad Zagreb;Grad Zagreb;Ivanićgradska 41a;Zagreb;01/2399-180;glazbenaskola.zbalokovica@inet.hr;NA
Program predškolskog odgoja pri Poliklinici za rehabilitaciju slušanja i govora Suvag;Grad Zagreb;Grad Zagreb;Kneza Ljudevita Posa;Zagreb;014629600, 4629625 091/4110369;"zagreb@suvag.hr; spirkic@suvag.hr";NA
Program predškolskog odgoja pri Centru za odgoj i obrazovanje Goljak;Grad Zagreb;Grad Zagreb;Goljak 2;Zagreb;01/4824-179  ;centargoljak@centar-odgojiobrazovanje-goljak.skole.hr;NA
Program predškolskog odgoja pri Centru za autizam;Grad Zagreb;Grad Zagreb;Dvorničićeva 6;Zagreb;01/2856-756;ured@centar-autizam-zg.skole.hr; PO Nad Lipom, Nad Lipom 13/1, 10000 Zagreb
Kraći program predškolskog odgoja pri Glazbenoj školi Vatroslava Lisinskog;Grad Zagreb;Grad Zagreb;Ulica Ivana Gundulića 4;Zagreb;4830767;glazbena.lisinski@gmail.com;NA
Kraći program predškolskog odgoja pri Školi za klasični balet;Grad Zagreb , Grad Zagreb;Grad Zagreb;Ilirski trg 9;Zagreb;01/4851-320;skola@skolazaklasicnibalet.hr;NA
"DV ""Pipi duga čarapa""";Branka Bobinac;Grad Zagreb;Našička ulica 18;Zagreb;01/3014-952;dv.pipizg@gmail.com;NA
"Dječji vrtić  ""Cica maca""";Ornela Dundić;Grad Zagreb;Jarušćica 9b;Zagreb;01/6523-119;cicamaca@cica-maca.hr;NA
"Dječji vrtić ""Mali svijet""";Sandra Tomšić;Grad Zagreb;Borovik 5;Zagreb;098/ 614 931;msvijet05@gmail.com; PO Unčanska, Unčanska 5, 10000 Zagreb
"DV ""Frfi""";Zrinka Junaković;Grad Zagreb;Jarun 50;Zagreb;01/3635 333;info@vrtic-frfi.hr; PO Pavlenski put, Pavlenski put 7f,  
"DV ""Nemo""";IRENA BURIĆ;Grad Zagreb;Našička 6;Zagreb;01/3668-815;nemovrtic@gmail.com; PO Našička 12, Našička 12, 10000 Zagreb
"Dječji vrtić ""Kućica""";Sanja Markić i Jasna Stamenić;Grad Zagreb;Gospodska 18;Zagreb;"01/5616072; 095/9061432 ";kucica@djecji-vrtic-kucica.hr; PO Luka, I. Luka 6, 10040 Zagreb ,  PO Szaba, Gjure Szaba 4, 10000 Zagreb ,  PO Čučerska, Čučerska cesta 183,  
Dječji vrtić Blažena Hozana;VRHOVNA UPRAVA SESTARA DOMINIKANKI SVETIH ANĐELA ČUVARA, KORČULA;Grad Zagreb;Trg kardinala Franje Šepera 2;Zagreb;01/6129-283;vrtic.blazena.hozana@zg.t-com.hr; DV Blažena Hozana, Velimira Škorpika 8,  
"DV ""Mirjam Weiller""";Židovska općina Zagreb;Grad Zagreb;Ulica Junija Palmotića 16;Zagreb;01/4862 750;vrtic.mirjamw@gmail.com;NA
"DV ""Nikole Zrinskog""";Evangelička crkvena općina Zagreb;Grad Zagreb;Ulica Ivana Gundulića 28;Zagreb;01/4855-622; dvzrinskog@gmail.com;NA
"Dječji vrtić ""Montessori""";Karolina Glad;Grad Zagreb;Šipkovica 57;Zagreb;099 3358 167;vrtic@dv-montessori.hr ;NA
"DV ""Srčeko""";Sandra Pokos;Grad Zagreb;Pantovčak 115;Zagreb;01/48 35 351;sandra.pokos@zg.t-com.hr; PO Pantovčak 117, Pantovčak 117, 10000 Zagreb
Kraći program predškolskog odgoja pri Knjižnici Medveščak;Knjižnice Grada Zagreba;Grad Zagreb;Trg žrtava fašizma 7;Zagreb;014611480;knjiznica.medvescak@kgz.hr;NA
"Dječji vrtić ""Smjehuljica""";Marija Radoš Šamo , ;Grad Zagreb;Ul. biskupa J. Galju;Zagreb;"01/4664-881;";"smjehuljica.vrtic@gmail.com; "; PO Bjelovarska, Bjelovarska 32, 10360 Sesvete ,  PO Petrova, Petrova 19, 10000 Zagreb ,  PO Domjanićeva, Domjanićeva 19,  
"DV ""Čigra""";TRISET doo;Grad Zagreb;Radauševa 3;Zagreb;01/ 555 96 80;cigra@cigravrtic.hr; PO Josipa Marohnića 3, Marohnićeva 3, 10000 Zagreb ,  PO Radnička, Radnička 50, 10000 Zagreb ,  PO Vrtni put, Vrtni put 1,  
"Dječji vrtić ""Dječja igra""";Anja Bucković Harapin;Grad Zagreb;Aleja Blaža Jurišića;Zagreb;01/2915 334, 091/39 15 334;info@djecja-igra.hr; PO Vile Velebita, Vile Velebita 8, 10040 Zagreb ,  PO Klekovačka, Klekovačka 32, 10040 Zagreb ,  PO Kuzminečka, Kuzminečka 16-18, 10000 Zagreb
Dječji vrtić Zvjezdica;Hrvatsko-američko društvo;Grad Zagreb;Petrova 119;Zagreb;"098/320336; 2422-343";kindergarten@cas.hr   ili  kindergartenlittlestar@gmail.com;NA
"DV ""Čupko""";Zlatko Bilić;Grad Zagreb;Rudeška cesta 150;Zagreb;091/3872-378;zrinka@vrtic-cupko.hr;NA
"Dječji vrtić ""Vrbik""";Grad Zagreb;Grad Zagreb;Šetalište Jurija Gagarina 10;Zagreb;01/6199-540, 091/6199-540;vrtic-vrbik@zagreb.hr; PO Prisavlje, Prisavlje 4, 10000 Zagreb ,  PO Fausta Vrančića, Fausta Vrančića 9, 10000 Zagreb
"Dječji vrtić  ""Cvjetnjak""";DRUŽBA SESTARA SLUŽAVKI MALOG ISUSA - PROVINCIJA PRESVETOG SRCA ISUSOVA I MARIJINA;Grad Zagreb;Nova Ves 55/1;Zagreb;01/4668-321;cvjetnjak@gmail.com;" Dječji vrtić ""Cvjetnjak"" Dubrava Samoborska, Gajeva 16, 10430 Samobor ,  DV ""Cvjetnjak"" Vinkovci, Pavleka Miškine 33, 32100 Vinkovci"
"DV ""Marija Petković""";Družba Kćeri Milosrđa;Grad Zagreb;Mallinova 4;Zagreb;01/46 36-796;dv.marija.petkovic@zg.t-com.hr;" DV ""Marija Petković"", Petrinjska 1, 21000 Split ,  DV ""Marija Petković"", Creska 7, 52100 Pula ,  DV ""Marija Petković"", Ulica 79, broj 5, 20271 Blato ,  DV ""Marija Petković"", Kralja Zvonimira 4, 40000 Čakovec ,  DV ""Marija Petković"", Bakarska 1, 31000 Osijek"
"DV ""Svetog Vinka""";Provincija Bezgrjšnog Začeća BDM , Provincija Bezgrješnog Začeća BDM;Grad Zagreb;Frankopanska 17;Zagreb;01/4831999, 099/4232381;dv.sv.vinka@gmail.com;NA
"Dječji vrtić ""Svete Male Terezije""";Hrvatska provincija karmelićanki BSI;Grad Zagreb;Vrhovec 29;Zagreb;01/6578848;piskovick@gmail.com;" DV ""Svete Male Terezije"", Trenkova 18, 21000 Split ,  DV ""Svete Male Terezije"", Savska 2, 10434 Strmec Samoborski ,  DV ""Svete Male Terezije"", Leskovački brijeg 15, 10251 Hrvatski Leskovac ,  DV ""Svete Male Terezije"", I.G.Kovačića 63, 51521 Punat ,  DV ""Svete Male Terezije"", Trg Velike Gospe 2, 23205 Bibinje"
"Dječji vrtić ""Svetog Josipa""";Družba Kćeri Božje Ljubavi;Grad Zagreb;Granešina 7;Zagreb;01/2929-144;svetijosip2016@gmail.com;" DV ""Svetog Josipa"", Đ. Basaričeka 15, 48000 Koprivnica ,  DV ""Svetog Josipa"", J. J. Strossmayera 17, 48260 Križevci"
"Dječji vrtić ""Jordanovac""";Školske sestre Franjevke  Krista Kralja;Grad Zagreb;Jordanovac 55;Zagreb;01/2339-388;info@dv-jordanovac.hr;" Dječji vrtić ""Jordanovac"", Uz Sv. Ivana 8, 21215 Kaštel Lukšić ,  DV ""Jordanovac"", Trg Gospe Loretske 10, 23000 Zadar"
"Dječji vrtić ""Svetog Franje""";Družba sestara franjevki;Grad Zagreb;V. Barutanski ograna;Zagreb;01/236 58 53;dvsfranje@gmail.com;NA
"DV ""Vitica""";KOLAMBI ROSHI;Grad Zagreb;Ulica grada Vukovara;Zagreb;01 6578 784;info@djecjivrticvitica.hr;NA
"DV ""Anđela Merici""";Hrvatska provincija uršulinki rimske unije;Grad Zagreb;Vlaška 75;Zagreb;01/4554-338;dv-sv.angela.m@ursulinke.hr;NA
"Dječji vrtić ""Gajnice""";Grad Zagreb;Grad Zagreb;Hrvatskih iseljenika;Zagreb;01/3455-008;vrtic.gajnice@zagreb.hr; PO Peruanska, Peruanska 1, 10000 Zagreb ,  PO Blanje staro, Blanje 19, 10000 Zagreb ,  PO Kerestinačkih žrtava, Kerestinečkih žrtava 59, 10000 Zagreb ,  PO Blanje novo, Blanje 17, 10000 Zagreb
"Dječji vrtić ""Malešnica""";Grad Zagreb;Grad Zagreb;Ante Topić Mimare 34;Zagreb;01/3730-266;"vrtic.malesnica@zagreb.hr; tajnik@dv-malesnica.hr; ravnatelj@dv-malesnica.hr"; PO Dobriše Cesarića , Dobriše Cesarića 4, 1090 Zagreb ,  PO Dolovska, Dolovska 27, 10090 Zagreb
"DV ""Vrapče""";Grad Zagreb;Grad Zagreb;Nikole Gorjanskog 7;Zagreb;01/3450 038;dvvrapce.tajnistvo@metromail.hr; PO Kerestinačkih žrtava, Kertestnečkih žrtava 13, 10000 Zagreb ,  PO Gračanina, Mihovila Gračanina 4a, 10000 Zagreb ,  PO Rašljice, Rašljice 20, 10000 Zagreb ,  PO Vrabečak, Vrabečak 5, 10000 Zagreb
"Dječji vrtić ""Bajka""";Grad Zagreb;Grad Zagreb;Zorkovačka 8;Zagreb;01/3692062 / 3027322;vrtic.bajka@zagreb.hr; PO Ciglenica, Humska 1, 10000 Zagreb ,  PO Selska, Selska 95, 10000 Zagreb ,  PO Opatijski trg, Opatijski trg 9, 10000 Zagreb ,  PO Vrbani, Kuzminečka 12,  
"Dječji vrtić ""Grigora Viteza""";Grad Zagreb;Grad Zagreb;Ratarska 5;Zagreb;01/3860933;vrtic-grigoraviteza@zagreb.hr; PO Ožujska 10a, Ožujska 10a, 10000 Zagreb ,  PO Ožujska 13, Ožujska 13, 10000 Zagreb ,  PO Rujanska 21, Rujanska 21, 10000 Zagreb ,  PO Rudeška, Rudeška 71, 10000 Zagreb ,  PO Rujanska 4, Rujanska 4, 10000 Zagreb
"Dječji vrtić ""Jarun""";Grad Zagreb , ;Grad Zagreb;Bartolići 39A;Zagreb;01/3659-800;vrtic.jarun@zagreb.hr; PO Pandakovićeva, Ante Pandakovića 2, 10000 Zagreb ,  PO Hrgovići, Hrgovići 20, 10000 Zagreb ,  PO Stipančićeva, Stipančićeva 12, 10000 Zagreb ,  PO Macanovićeva, Hrvoja Macanovića 5, 10000 Zagreb ,  PO Puštekova, Martina Pušteka 14, 10000 Zagreb ,  PO Hrgovići 63, Hrgovići 63, 10000 Zagreb
"Dječji vrtić ""Matije Gupca""";Grad Zagreb;Grad Zagreb;Braće Cvijića 18;Zagreb;01/3836-469, 3836-470;vrtic-matijegupca@zagreb.hr; PO Dugavska, Dugavska 3, 10000 Zagreb ,  PO Horvaćanska, Horvaćanska 6, 10000 Zagreb ,  PO Zagrebačka, Zagrebačka 5 a, 10000 Zagreb
"Dječji vrtić ""Srednjaci""";Grad Zagreb;Grad Zagreb;Ulica Vladimira Filakovca 2;Zagreb;01/38-42-119;vrtic.srednjaci@zagreb.hr; PO Loparska, I. Loparska 11, 10000 Zagreb
"Dječji vrtić ""Potočnica""";Grad Zagreb;Grad Zagreb;Ul. Grada Vukovara 1;Zagreb;01/3096-439;vrtic.potocnica@zagreb.hr;NA
"Dječji vrtić ""Prečko""";Grad Zagreb;Grad Zagreb;Marijane Radev 1;Zagreb;01/3882 207;vrtic-precko@vrtic-precko.hr; PO Marles, Jarnovićeva 23, 10000 Zagreb ,  PO Tijardovićeva, Tijardovićeva 13, 10000 Zagreb
"Dječji vrtić ""Trešnjevka""";Grad Zagreb;Grad Zagreb;Badalićeva 24;Zagreb;01/3820-247;dv-tresnjevka@zg.t-com.hr; PO Trakošćanska, Trakošćanska 45, 10000 Zagreb
Dječji vrtić Zvončić;Grad Zagreb;Grad Zagreb;Hanamanova 3a;Zagreb;01/3077290, 3077502, 3079611;vrtic.zvoncic@zagreb.hr; PO Voltino 48, Voltino 48, 10000 Zagreb ,  PO Golikova, Dragutina Golika 46, 10000 Zagreb ,  PO Drvinje, Dragutina Golika 16, 10000 Zagreb ,  PO Šibenska, Šibenska 1, 10000 Zagreb
"Dječji vrtić ""Iskrica""";Grad Zagreb , ;Grad Zagreb;Kruge 3;Zagreb;01/615-69-55;vrtic-iskrica@zagreb.hr; PO Bosutska, Trg kardinala Franje Šepera 6, 10000 Zagreb
"Dječji vrtić ""Savica""";Grad Zagreb;Grad Zagreb;Ul. Vladimira Ruždja;Zagreb;01/6151-327;vrtic.savica@zagreb.hr ; PO Jug, Ul. Vladimira Ruždjaka 22, 10000 Zagreb
"Dječji vrtić ""Vladimira Nazora""";Grad Zagreb;Grad Zagreb;Rapska bb;Zagreb;"01/6180-280; 01/6180-279";vrtic.vladimiranazora@zagreb.hr; PO Supilova, Supilova 5, 10000 Zagreb ,  PO Otona Župančića, Otona Župančića 1, 10000 Zagreb ,  PO Rapska, Rapska ulica 1,  
"Dječji vrtić ""Kolibri""";Grad Zagreb;Grad Zagreb;Ruščenica 19;Zagreb;01/ 2985-400;vrtic-kolibri@zagreb.hr ; PO Miroševačka cesta, Miroševečka cesta 89, 10040 Zagreb ,  PO Novoselečki put, Novoselečki put 181, 10040 Zagreb
"Dječji vrtić ""Pčelica""";Grad Zagreb;Grad Zagreb;Josipa Hamma 2;Zagreb;01/2990-506;vrtic.pcelica@zagreb.hr; PO Trepčanska, Trepčanska 10, 10000 Zagreb ,  PO Retkovec, Aleja lipa 1,  
"Dječji vrtić ""Poletarac""";Grad Zagreb;Grad Zagreb;Vile Velebita 18;Zagreb;01/2857-772;vrtic-poletarac@zagreb.hr; PO Ljevakovića 8, Zvonimira Ljevaković, 10040 Zagreb ,  PO Ljevakovića 20, Zvonimira Ljevaković, 10040 Zagreb ,  PO Ljevakovića, Zvonimira Ljevaković, 10040 Zagreb
"Dječji vrtić ""Sunce""";GRAD ZAGREB ;Grad Zagreb;III. Poljanice 2;Zagreb;01/2922-355;vrtic.sunce@zagreb.hr; PO Dubec, Prominska 1, 10040 Zagreb
"Dječji vrtić ""Bukovac""";Grad Zagreb;Grad Zagreb;Trnac 67;Zagreb;01/2341-131;"ravnateljica@vrtic-bukovac.hr; vrtic-bukovac@zagreb.hr"; PO Bukovačka cesta 221, Bukovačka cesta 221, 10000 Zagreb ,  PO Rebro, Kišpatićeva 12,  
"DV ""Markuševec""";Grad Zagreb;Grad Zagreb;Štefanovec 172;Zagreb;01/4574-793;vrtic.markusevec@zagreb.hr; PO BIDROVEC, Bidrovečka cesta 30, 10000 Zagreb ,  PO BAČUN, Markuševečka c. 38, 10000 Zagreb ,  PO Brežovanka, Brežovanka 2a, 10000 Zagreb ,  PO Sesvete, Ulica Vladimira Vidrića 12, 10000 Zagreb
"Dječji vrtić ""Maksimir""";Grad Zagreb, Narodni odbor općine Maksimir;Grad Zagreb;Al. Antuna Augustinč;Zagreb;01/2314-976;vrtic.maksimir@zagreb.hr; PO Ravnice, Ravnice 4, 10000 Zagreb ,  PO Dvorišni objekt, Aleja Antuna Augustinčića 2, 10000 Zagreb
"Dječji vrtić ""Mali Princ""";Grad Zagreb;Grad Zagreb;Laščinska 17;Zagreb;01/2431-460;mprinc@vrtic-maliprinc.hr; PO Kozjak, Rebar 31 (Kozjak), 10000 Zagreb ,  PO Jordanovac, Jordanovac 23, 10000 Zagreb
"Dječji vrtić ""Trnoružica""";Grad Zagreb;Grad Zagreb;Rusanova 11;Zagreb;01/2312-524;vrtic.trnoruzica@zagreb.hr; PO Livadićeva, Ferde Livadića 25, 10000 Zagreb
"Dječji vrtić ""Medveščak""";Grad Zagreb;Grad Zagreb;Voćarska 69;Zagreb;01/4616-247;vrtic.medvescak@zagreb.hr; PO Vojnovićeva 19, Vojnovićeva 19, 10000 Zagreb ,  PO Vlaška 97, Vlaška 97, 10000 Zagreb ,  PO Vojnovićeva 15, Vojnovićeva 15, 10000 Zagreb ,  PO Martićeva 14b, Martićeva 14b, 10000 Zagreb ,  PO Jurkovićeva 14, Jurkovićeva 14, 10000 Zagreb
"Dječji vrtić ""Vedri dani""";Grad Zagreb;Grad Zagreb;Ulica Milana Makanca 11a;Zagreb;01/4650-350;vrtic.vedridani@zagreb.hr; PO Kneza Borne, Ul. Kneza Borne 11 a, 10000 Zagreb ,  PO Fra Filipa Grabovca, Fra Filipa Grabovca 26 a, 10000 Zagreb ,  PO Trg žrtava fašizma, Trg žrtava fašizma 11, 10000 Zagreb ,  PO Šubićeva, Šubićeva 12/1, 10000 Zagreb ,  PO Kneza Ljudevita Posavskog 24, Kneza Ljudevita Posavskog 24, 10000 Zagreb
"Dječji vrtić ""Vjeverica""";Grad Zagreb;Grad Zagreb;Ksaverska cesta 14;Zagreb;01/4673-289;vrtic.vjeverica@zagreb.hr; PO Gračani, Gračani 9a, 10000 Zagreb ,  PO Šuflayeva, Ulica Milana Šuflaya 4, 10000 Zagreb ,  PO Šalata, Šalata 13, 10000 Zagreb
"Dječji vrtić ""Remetinec""";Grad Zagreb;Grad Zagreb;Lanište 1d;Zagreb;01/6594 420;vrtic.remetinec@zagreb.hr; PO SAVSKI GAJ, NEHRUOV TRG 34 A, 10000 Zagreb ,  PO Vice Vukova, Ulica Vice Vukova 9, 10000 Zagreb
"Dječji vrtić ""Siget""";Grad Zagreb;Grad Zagreb;Siget 12;Zagreb;01/6521-121;Vrtic.siget@zagreb.hr; PO Aleja pomoraca, Aleja pomoraca 27, 10020 Zagreb
"Dječji vrtić ""Sopot""";GRAD ZAGREB , Grad Zagreb;Grad Zagreb;Viktora Kovačića 18c;Zagreb;01/6679-367;vrtic.sopot@zagreb.hr; PO Ostrogovićeva, Ostrogovićeva 9, 10010 Zagreb
"Dječji vrtić ""Tratinčica""";Grad Zagreb , Grad Zagreb;Grad Zagreb;Ul. sv. Mateja 131;Zagreb;01/6600-557;vrtic.tratincica@zagreb.hr; PO Sv. Mateja 55, Ul. sv. Mateja 55, 10000 Zagreb ,  PO Hribarov prilaz, Hribarov prilaz 2, 10000 Zagreb ,  PO Vajdin vijenac, Vajdin vijenac 2, 10000 Zagreb ,  PO Sloboština, Karela Zahradnika 13, 10010 PO Sloboština ,  PO Sv. Mateja 73, Sv. Mateja  73, 10010 Zagreb ,  PO Buzin, Buzinska cesta 49, 101010 Buzin ,  PO Kamenarka 37, Kamenarka 37,  
"Dječji vrtić ""Travno""";Grad Zagreb;Grad Zagreb; Božidara Magovca 10;Zagreb;01/6601-164;vrtic.travno@zagreb.hr; PO Magovčeva, Božidara Magovca 105, 10000 Zagreb ,  PO Kopernikova, Kopernikova 2, 10000 Zagreb ,  PO Velikopoljska, Velikopoljska 12, 10010 Zagreb
Dječji vrtić Trnsko;Grad Zagreb;Grad Zagreb;Trnsko 19 ;Zagreb;01/6524-076;vrtic.trnsko@zagreb.hr; PO Trnsko, Trnsko 31b, 10020 Zagreb ,  PO Trnsko, Trnsko 39b, 10020 Zagreb ,  PO Kajzerica, Žarka Dolinara 11,  
"Dječji vrtić ""Utrina""";Grad Zagreb;Grad Zagreb;Maretićeva 2;Zagreb;01/6687-167, 6685-542,;vrtic.utrina@zagreb.hr; PO Balotin prilaz, Balotin prilaz 1, 10000 Zagreb ,  PO Katićev prilaz, Katićev prilaz 1a, 10020 Zagreb
"Dječji vrtić ""Cvrčak""";Grad Zagreb;Grad Zagreb;Turopoljska 29;Zagreb;01/2303-402;vrtic.cvrcak@zagreb.hr; PO Zapoljska, Zapoljska 34, 10000 Zagreb ,  PO Đalskog, Ksavera Šandora Đalskog 29 a, 10000 Zagreb ,  PO Vukomerec, Vukomerec 43, 10000 Zagreb
"Dječji vrtić ""Špansko""";Grad Zagreb;Grad Zagreb;Špansko 11;Zagreb;01 3897 022;vrtic@dv-spansko.hr; PO Djetlić , Vida Došena 39, 10090 Zagreb ,  PO Dobriše Cesarića, Dobriše Cesarića 51, 10090 Zagreb ,  PO Oranički odvojak, VI Oranički odvojak , 10090 Zagreb ,  PO Hrnetička, Hrnetička ulica bb, 10090 Zagreb
"Dječji vrtić ""Duga""";Grad Zagreb;Grad Zagreb;I. Ferenščica 90;Zagreb;01/2451-786;vrtic.duga@zagreb.hr; PO Budakova, Divka Budaka 16, 10000 Zagreb ,  PO Racinova, Racinova 1 b, 10000 Zagreb
"Dječji vrtić ""Zrno""";Grad Zagreb - Skupština općine Pešćenica;Grad Zagreb;Nede Krmpotić 5;Zagreb;01/2407-351;vrtic-zrno@zagreb.hr; PO Petruševec, I. Petruševec 1, 10000 Zagreb
"Dječji vrtić ""Milana Sachsa""";Grad Zagreb;Grad Zagreb;Ul. Milana Sachsa 5;Zagreb;01/6144-891;vrtic.milanasachsa@zagreb.hr; PO Rođenja Marijina, Velikogorička 27, 10000 Zagreb ,  PO Prilaz Safvet-bega Bašagića, Prilaz Safvet-bega B, 10000 Zagreb
"Dječji vrtić ""Pikulica""";Jelena Bubenik;Grad Zagreb;Modruška 19;Zagreb;091 572 08 12;info@pikulica.com; PO Blato, Mladena Fiolića 19,  
"Dječji vrtić ""Budućnost""";Grad Zagreb , GRAD ZAGREB;Grad Zagreb;Mihanovićeva 30/2;Zagreb;01/4856-713;vrtic-buducnost@zagreb.hr  ; PO Haulikova, Haulikova 6, 10000 Zagreb ,  PO Žerjavićeva , Ulica Jurja Žerjavića 5/I,  
"Dječji vrtić ""Izvor""";Grad Zagreb;Grad Zagreb;Prilaz Gjure Deželić;Zagreb;01/4846 - 062;vrtic.izvor@zagreb.hr; PO Klaićeva, Klaićeva 16, 10000 Zagreb
"Dječji vrtić ""Različak""";Grad Zagreb;Grad Zagreb;Wellerov vrt 1 (bivša Petrinjska 31/2);Zagreb;01/4873-283;vrtic.razlicak@zagreb.hr; PO Mlinovi, Podrebernica 15, 10000 Zagreb ,  PO Kaptol, Kaptol 16, 10000 Zagreb ,  PO Jurišićeva, Jurišićeva 24/2, 10000 Zagreb ,  PO Nova Ves, Nova Ves 36, 10000 Zagreb ,  PO Amruševa, Amruševa 10/1, 10000 Zagreb
Dječji vrtić Tatjane Marinić;Grad Zagreb;Grad Zagreb;Mihovila Pavlinovića;Zagreb;01/3760-133;vrtic.tatjanemarinic@zagreb.hr; PO Matoševa, Matoševa 7, 10000 Zagreb ,  PO I.G.Kovačića, Ivana Gorana Kovačića 31, 10000 Zagreb
"Dječji vrtić ""Kustošija""";Grad Zagreb;Grad Zagreb;Ul.Stjepana Pasanca 5;Zagreb;01/3860-694,01/3860-695;vrtic.kustosija@zagreb.hr; PO Vrbani III, Palinovečka 40, 10000 Zagreb
"Dječji vrtić ""Krijesnice""";Grad Zagreb;Grad Zagreb;Krajiška 7a;Zagreb;01/3777417;vrtic.krijesnice@zagreb.hr; PO Kordunska 7, Kordunska 7, 10000 Zagreb ,  PO Kordunska 1, Kordunska 1, 10000 Zagreb
"Dječji vrtić ""Petar Pan""";Grad Zagreb;Grad Zagreb;Španovićeva 18;Zagreb;01/3750 330;vrtic.petarpan@zagreb.hr; PO Kunišćak, Kunišćak 7, 10000 Zagreb ,  PO Ilica, Ilica 230, 10000 Zagreb ,  PO Slovenska, Slovenska 13, 10000 Zagreb ,  PO Lendavska, Lendavska 7, 10000 Zagreb
"Dječji vrtić ""Šumska jagoda""";Grad Zagreb;Grad Zagreb;Sveti Duh 75;Zagreb;01/3700-732;vrtic.sumskajagoda@zagreb.hr; PO Sveti duh, Sveti Duh 58, 10000 Zagreb ,  PO Mikulići, Mikulići 133, 10000 Zagreb ,  PO Bijenik, Bijenik 164, 10000 Zagreb ,  PO Dunjevac, Dunjevac 15, 10000 Zagreb
"Dječji vrtić ""Ivana Brlić Mažuranić""";Grad Zagreb;Grad Zagreb;Cerska 22;Zagreb;01/2910 519;vrtic-ivanebrlicmazuranic@zagreb.hr; PO Kosjenke, Zagreb, Kapucinska 2, 10040 Zagreb ,  PO Rutvice, Berečka 3, 10040 Zagreb ,  PO Grad mladih Granešina, Ulica Hrvatske mladeži bb, 10000 Zagreb
"Dječji vrtić ""Jabuka""";Grad Zagreb;Grad Zagreb;Resnički put 88;Zagreb;01/2995-312;vrtic.jabuka@zagreb.hr; PO Čulinec, Ulica Badema 14a, 10040 Zagreb ,  PO Resnik, 5 Resnik 1a, 10040 Zagreb
Program predškolskog odgoja pri OŠ Zagvozd;Općina Zagvozd;Splitsko-dalmatinska županija ;Trg Zabiokovskih junaka Domovinskog rata 4;Zagvozd;021/847-015;ravnatelj@os-zagvozd.skole.hr;NA
"Dječji vrtić ""Maslačak""";Grad Zaprešić;Zagrebačka županija ;Hrvatske mladeži 4;Zaprešić;3310-434;ravnatelj@maslacak-zapresic.hr; PO Trg mladosti 9, Trg mladosti 9, 10290 Zaprešić
"Dječji vrtić ""Vrtuljak""";Grad Zaprešić;Zagrebačka županija ;Mokrička 59;Zaprešić;01/3310-455, 01/ 4001-090;dv.vrtuljak.ravnatelj@gmail.com; PO Mokrička 57, Mokrička 57a, 10290 Zaprešić
"Dječji vrtić ""Točkica""";Klara Čičak;Zagrebačka županija ;Josipa Malekovića 22;Zaprešić;091/5349-473;klara.cicak@gmail.com;NA
Dječji vrtić ZVONO;KRISTOVA CRKVA - ZAPREŠIĆ;Zagrebačka županija ;Klake 4;Zaprešić;01/3315-517;info@vrtic-zvono.org;NA
"Program predškolskog odgoja pri Udruzi ""Art-akademija""";Viktorija Frajman;Zagrebačka županija ;Pavla Lončara 1c;Zaprešić;3315-738, 095/533-0985;viktorijafrajman1@gmail.com;NA
"SPORTSKI KLUB ""MINIĆI""";Zlatka Benček;Zagrebačka županija ;Otona Ivekovića 4;Zaprešić;091/5045337;zlatka.pokupec@gmail.com;NA
Predškolski odgoj pri OŠ I. G. Kovačića;Općina Zdenci;Virovitičko-podravska županija ;Školska ul. 2;Zdenci;033/646-009;dvzdenci@gmail.com;NA
